"year","team","conference","wins","losses","ties","win_percentage","points_for","points_against","point_differential","home_win_pct","road_win_pct","division_win_pct","conference_win_pct","won_superbowl","superbowl_opponent","superbowl_score","current_streak","strong_finish","average_points_for","average_points_against"
2022,"Philadelphia Eagles","NFC",14,3,0,1,0,477,-477,1,0.7777777777777778,0.875,0.6666666666666666,0,"","","9 - 3 - 0",0,0,28.058823529411764
2022,"San Francisco 49ers","NFC",13,4,0,2,0,450,-450,1,0.8888888888888888,0.625,1,0,"","","10 - 2 - 0",0,0,26.470588235294116
2022,"Dallas Cowboys","NFC",12,5,0,5,0,467,-467,1,0.8888888888888888,0.5,0.6666666666666666,0,"","","8 - 4 - 0",0,0,27.470588235294116
2022,"Green Bay Packers","NFC",8,9,0,10,0,370,-370,0,0.5555555555555556,0.375,0.5,0,"","","6 - 6 - 0",0,0,21.764705882352942
2023,"Baltimore Ravens","AFC",13,4,0,1,0,483,-483,1,0.6666666666666666,0.875,0.5,0,"","","8 - 4 - 0",0,0,28.41176470588235
2023,"Kansas City Chiefs","AFC",11,6,0,3,0,371,-371,1,0.5555555555555556,0.75,0.6666666666666666,1,"San Francisco 49ers","25–22 (OT)","9 - 3 - 0",0,0,21.823529411764707
2023,"Buffalo Bills","AFC",11,6,0,2,0,451,-451,1,0.7777777777777778,0.5,0.6666666666666666,0,"","","7 - 5 - 0",0,0,26.529411764705884
2023,"Miami Dolphins","AFC",11,6,0,6,0,496,-496,1,0.7777777777777778,0.5,0.6666666666666666,0,"","","7 - 5 - 0",0,0,29.176470588235293
2023,"Pittsburgh Steelers","AFC",10,7,0,7,0,304,-304,0,0.5555555555555556,0.625,0.8333333333333334,0,"","","7 - 5 - 0",0,0,17.88235294117647
2023,"Cincinnati Bengals","AFC",9,8,0,8,0,366,-366,0,0.6666666666666666,0.375,0.16666666666666666,0,"","","4 - 8 - 0",0,0,21.529411764705884
2023,"New England Patriots","AFC",4,13,0,16,0,236,-236,0,0.1111111111111111,0.375,0.3333333333333333,0,"","","4 - 8 - 0",0,0,13.882352941176471
2023,"San Francisco 49ers","NFC",12,5,0,1,0,491,-491,1,0.625,0.7777777777777778,0.8333333333333334,0,"","","10 - 2 - 0",0,0,28.88235294117647
2023,"Dallas Cowboys","NFC",12,5,0,2,0,509,-509,1,1,0.4444444444444444,0.8333333333333334,0,"","","9 - 3 - 0",0,0,29.941176470588236
2023,"Philadelphia Eagles","NFC",11,6,0,5,0,433,-433,1,0.75,0.5555555555555556,0.6666666666666666,0,"","","7 - 5 - 0",0,0,25.470588235294116
2023,"Green Bay Packers","NFC",9,8,0,7,0,383,-383,1,0.625,0.4444444444444444,0.6666666666666666,0,"","","7 - 5 - 0",0,0,22.529411764705884
2024,"Kansas City Chiefs","AFC",15,2,0,1,0,385,-385,1,1,0.7777777777777778,0.8333333333333334,0,"","","10 - 2 - 0",0,0,22.647058823529413
2024,"Buffalo Bills","AFC",13,4,0,2,0,525,-525,1,1,0.5555555555555556,0.8333333333333334,0,"","","9 - 3 - 0",0,0,30.88235294117647
2024,"Baltimore Ravens","AFC",12,5,0,3,0,518,-518,1,0.75,0.6666666666666666,0.6666666666666666,0,"","","8 - 4 - 0",0,0,30.470588235294116
2024,"Pittsburgh Steelers","AFC",10,7,0,6,0,380,-380,1,0.625,0.5555555555555556,0.5,0,"","","7 - 5 - 0",0,0,22.352941176470587
2024,"Cincinnati Bengals","AFC",9,8,0,8,0,472,-472,1,0.375,0.6666666666666666,0.5,0,"","","6 - 6 - 0",0,0,27.764705882352942
2024,"Miami Dolphins","AFC",8,9,0,10,0,345,-345,0,0.625,0.3333333333333333,0.5,0,"","","6 - 6 - 0",0,0,20.294117647058822
2024,"New England Patriots","AFC",4,13,0,13,0,289,-289,0,0.25,0.2222222222222222,0.3333333333333333,0,"","","3 - 9 - 0",0,0,17
2024,"Philadelphia Eagles","NFC",14,3,0,2,0,463,-463,1,0.8888888888888888,0.75,0.8333333333333334,1,"Kansas City Chiefs","40–22","9 - 3 - 0",0,0,27.235294117647058
2024,"Green Bay Packers","NFC",11,6,0,7,0,460,-460,1,0.6666666666666666,0.625,0.16666666666666666,0,"","","6 - 6 - 0",0,0,27.058823529411764
2024,"Dallas Cowboys","NFC",7,10,0,11,0,350,-350,0,0.2222222222222222,0.625,0.5,0,"","","5 - 7 - 0",0,0,20.58823529411765
2024,"San Francisco 49ers","NFC",6,11,0,12,0,389,-389,0,0.4444444444444444,0.25,0.16666666666666666,0,"","","4 - 8 - 0",0,0,22.88235294117647
